Designator,Mid X,Mid Y,Rotation,Layer
C1,153.8,-133.2,90.0,top
C10,139.35,-98.529999,180.0,top
C11,139.35,-97.029999,180.0,top
C12,142.6,-88.1,270.0,top
C13,141.1,-88.1,270.0,top
C14,140.5,-91.5,90.0,top
C15,139.5,-91.5,90.0,top
C16,147.7,-88.1,270.0,top
C17,136.8,-83.1,180.0,top
C18,136.8,-81.6,180.0,top
C2,152.3,-133.2,90.0,top
C3,151.1,-133.9,90.0,top
C4,151.5,-128.5,270.0,top
C5,154.4,-115.0,180.0,top
C6,130.2,-101.3,270.0,top
C7,152.6,-108.105001,90.0,top
C8,142.4,-97.029999,0.0,top
C9,142.4,-98.529999,0.0,top
D1,148.145,-101.2,90.0,top
D12,128.2,-117.3,90.0,top
D13,128.2,-120.8,270.0,top
D14,128.2,-129.3,90.0,top
D15,128.2,-132.8,270.0,top
D2,144.3,-115.5,180.0,top
D3,147.9,-115.4,0.0,top
D4,141.9,-115.5,180.0,top
D5,139.6,-115.5,180.0,top
D6,128.2,-101.9,270.0,top
D7,128.2,-98.4,90.0,top
D8,128.2,-105.4,270.0,top
D9,128.2,-108.9,270.0,top
F2,148.9,-97.5,270.0,top
J1,142.592868,-112.912132,270.0,top
J2,126.1825,-103.6325,270.0,top
J3,148.89,-80.4,270.0,top
J4,126.1825,-119.0325,270.0,top
J5,126.1825,-131.0325,270.0,top
R1,147.6,-82.8,0.0,top
R10,154.104999,-95.13,0.0,top
R11,152.104999,-95.13,180.0,top
R2,145.4,-82.8,0.0,top
R3,154.0,-128.3,0.0,top
R4,154.4,-116.0,0.0,top
R5,132.6,-101.3,270.0,top
R6,129.3,-132.8,270.0,top
R7,155.0,-108.105001,90.0,top
RF1,127.675,-86.345,270.0,top
SW1,153.8,-125.0,90.0,top
SW2,153.8,-119.4,90.0,top
U13,152.825,-100.7,90.0,top
U2,140.9,-103.6,270.0,top
U3,136.7,-86.3,180.0,top
U4,136.8,-91.1,180.0,top
U5,145.4,-88.1,270.0,top
U6,142.73,-129.2,180.0,top
